module,attributes,classifier,technique,metric,score
ggg,asmt,knn,ae,accuracy,0.977762494268684
ggg,asmt,knn,ae,fscore,0.0
ggg,asmt,knn,ae,precision,0.0
ggg,asmt,knn,ae,recall,0.0
ggg,stdnt,knn,ae,accuracy,0.977762494268684
ggg,stdnt,knn,ae,fscore,0.0
ggg,stdnt,knn,ae,precision,0.0
ggg,stdnt,knn,ae,recall,0.0
ggg,abd,knn,ae,accuracy,0.9775332416322788
ggg,abd,knn,ae,fscore,0.00045840018336007336
ggg,abd,knn,ae,precision,0.3333333333333333
ggg,abd,knn,ae,recall,0.010309278350515464
ggg,abi,knn,ae,accuracy,0.9784502521779
ggg,abi,knn,ae,fscore,0.0013745704467353953
ggg,abi,knn,ae,precision,1.0
ggg,abi,knn,ae,recall,0.030927835051546393
ggg,asmt_stdnt,knn,ae,accuracy,0.9768454837230628
ggg,asmt_stdnt,knn,ae,fscore,0.0
ggg,asmt_stdnt,knn,ae,precision,0.0
ggg,asmt_stdnt,knn,ae,recall,0.0
ggg,asmt_abd,knn,ae,accuracy,0.9775332416322788
ggg,asmt_abd,knn,ae,fscore,0.00045840018336007336
ggg,asmt_abd,knn,ae,precision,0.3333333333333333
ggg,asmt_abd,knn,ae,recall,0.010309278350515464
ggg,asmt_abi,knn,ae,accuracy,0.977762494268684
ggg,asmt_abi,knn,ae,fscore,0.0
ggg,asmt_abi,knn,ae,precision,0.0
ggg,asmt_abi,knn,ae,recall,0.0
ggg,stdnt_abd,knn,ae,accuracy,0.977762494268684
ggg,stdnt_abd,knn,ae,fscore,0.0
ggg,stdnt_abd,knn,ae,precision,0.0
ggg,stdnt_abd,knn,ae,recall,0.0
ggg,stdnt_abi,knn,ae,accuracy,0.977762494268684
ggg,stdnt_abi,knn,ae,fscore,0.0
ggg,stdnt_abi,knn,ae,precision,0.0
ggg,stdnt_abi,knn,ae,recall,0.0
ggg,asmt_stdnt_abd,knn,ae,accuracy,0.9775332416322788
ggg,asmt_stdnt_abd,knn,ae,fscore,0.0
ggg,asmt_stdnt_abd,knn,ae,precision,0.0
ggg,asmt_stdnt_abd,knn,ae,recall,0.0
ggg,asmt_stdnt_abi,knn,ae,accuracy,0.9773039889958736
ggg,asmt_stdnt_abi,knn,ae,fscore,0.0
ggg,asmt_stdnt_abi,knn,ae,precision,0.0
ggg,asmt_stdnt_abi,knn,ae,recall,0.0
